온도,습도,이산화탄소,일사량
7.06,10.2445,1037,99.4
7.18,10.5215,1040,120.4
7.14,10.56,1041,120.4
7.2,10.8755,1038,119.8
7.26,11.014,1035,119.4
7.3,10.881,1034,119.4
7.14,10.6985,1036,119.7
7.18,10.56,1038,120.1
7.14,10.6985,1036,119.7
7.14,10.6985,1036,119.7
7.14,10.6985,1036,119.7
7.14,10.5985,1039,120.1
7.1,10.781,1040,120
7.2,10.7425,1042,120.4
7,10.637,1045,120.6
7.32,11.058,1043,120.3
7.32,11.058,1043,120.3
7.36,11.0195,1044,121
7.52,11.158,1043,120
7.52,11.158,1042,120
7.7,11.0865,1046,121
8.64,12.156,1034,120
8.58,11.979,991,115
7.94,11.0095,972,113
7.52,10.594,964,112
7.32,10.4885,962,111
7.22,10.3885,964,111
7.16,10.3445,966,112
7.12,10.383,969,112
7.08,10.4215,971,112
7.02,10.4215,971,112
7.04,10.5985,970,112
7.04,10.5985,969,112
7.1,10.781,969,111
7.1,10.737,969,112
7.1,10.781,967,111
7.06,10.7755,965,111
7.2,10.8755,964,111
7.3,10.881,964,111
7.4,10.881,963,111
7.4,11.0195,961,111
7.36,11.0195,959,110
7.52,11.158,955,110
7.46,11.158,953,110
7.4,11.0195,953,110
7.48,11.379,946,109
7.46,11.0195,944,109
7.66,11.258,942,109
7.76,11.225,940,108
7.9,11.3195,942,109
7.96,11.3635,945,109
8.12,11.602,946,109
8.16,11.425,949,110
8.1,11.2865,953,110
8.3,11.392,956,111
8.4,11.525,959,111
8.56,11.625,964,112
8.5,11.492,970,113
8.7,11.592,976,114
8.7,11.592,981,114
9.02,12.002,982,114
9.12,12.102,981,114
9.44,12.4735,980,114
9.58,12.4405,980,115
9.58,12.4405,980,115
9.62,12.4405,982,115
9.74,12.579,984,115
9.78,12.5405,987,116
9.72,12.402,988,116
9.7,12.2305,991,116
9.82,12.369,992,116
9.96,12.469,996,117
10.02,12.469,1002,118
9.7,12.192,1002,118
9.76,12.3635,997,117
9.76,12.3305,991,116
9.76,12.3305,985,116
9.82,12.369,979,115
9.86,12.4635,981,115
9.7,12.1975,986,116
9.82,12.502,987,116
9.76,12.3635,981,115
9.5,12.092,981,115
9.56,12.2305,983,115
9.94,12.6735,986,116
10.18,12.8735,989,116
10.44,13.145,993,117
10.54,13.1065,999,118
10.74,13.3395,1004,118
11,13.5725,1010,119
11.32,13.9385,1013,120
11.42,14.033,1018,120
11.56,14,1025,122
11.7,14.0945,1033,123
11.96,14.289,1043,124
12.38,14.7825,1018,121
12.18,14.688,992,118
12.26,14.522,984,117
12.4,14.4505,985,118
